time Ha FUV NUV u V J W3 UV+IR
0.214 0.0003577385347548565 0.000264652639308143 0.00048484296298047794 0.000653450349573073 0.0009043384746237724 0.0008219416258766734 0.0 0.0003538207081671258
0.215 0.00035563553199975223 0.0002621614041637013 0.00048156669997523744 0.0006504558605643328 0.0009015065881924152 0.0008182807910896255 0.0 0.0003517465053101645
0.216 0.0003535422879932371 0.0002596817293167336 0.00047830564010127157 0.0006474752671462237 0.0008986878428126411 0.0008146369439961087 0.0 0.00034968192755909
0.217 0.000351458712584718 0.00025721350797408544 0.0004750596429132094 0.0006445084409523269 0.0008958821170884226 0.0008110099276650835 0.0 0.00034762688599789514
0.218 0.0003493847168670814 0.0002547566348156149 0.00047182856990284994 0.0006415552553867985 0.0008930892912981356 0.0008073995873301045 0.0 0.00034558129293701354
0.219 0.0003473202131539029 0.00025231100596723513 0.0004686122844637274 0.0006386155855919771 0.0008903092473639824 0.0008038057703496688 0.0 0.00034354506189086207
0.22 0.0003452651149572226 0.000249876518974562 0.0004654106518564542 0.0006356893084166844 0.0008875418688219554 0.0008002283261685044 0.0 0.00034151810755589975
0.221 0.0003432193369657871 0.0002474530727771614 0.00046222353917483455 0.0006327763023852848 0.000884787040792613 0.000796667106279742 0.0 0.00033950034578918517
0.222 0.00034118279502382215 0.000245040567683365 0.0004590508153127822 0.0006298764476674326 0.0008820446499524957 0.0007931219641878691 0.0 0.00033749169358742516
0.223 0.00033915540611023604 0.0002426389053456759 0.0004558923509319272 0.0006269896260484623 0.0008793145845060464 0.0007895927553726502 0.0 0.00033549206906647146
0.224 0.0003372183304729647 0.00024028993565667137 0.00045279533443378484 0.0006241290607063365 0.0008766227934218294 0.0007862367070051369 0.0 0.0003335426359642552
0.225 0.0003358426776364033 0.00023823684771006806 0.0004500340644960037 0.0006213720051203648 0.0008741203070647355 0.0007839663955392962 0.0 0.0003318825256195753
0.226 0.00033447312527592565 0.00023619286439623962 0.00044728503969794834 0.0006186271759851341 0.0008716289182445769 0.0007817061520066042 0.0 0.00033022977720748465
0.227 0.0003331096195239178 0.00023415790532068322 0.0004445481519142349 0.0006158944653402872 0.0008691485289693702 0.0007794558875065415 0.0 0.00032858432572162885
0.228 0.0003317521072231319 0.00023213189114905123 0.00044182329444532195 0.0006131737666491329 0.0008666790425393464 0.0007772155143109268 0.0 0.0003269461070129026
0.229 0.0003304005359142221 0.0002301147435885955 0.00043911036199254156 0.0006104649747737062 0.0008642203635243442 0.0007749849458433829 0.0 0.00032531505777441656
0.23 0.0003290548538235914 0.00022810638537000042 0.0004364092506336862 0.0006077679859504229 0.0008617723977416278 0.0007727640966592371 0.0 0.0003236911155268245
0.231 0.00032771500985148943 0.00022610674022963622 0.0004337198577991235 0.0006050826977661899 0.0008593350522343139 0.0007705528824259225 0.0 0.00032207421860397546
0.232 0.0003263809535603725 0.00022411573289217915 0.00043104208224844284 0.0006024090091351087 0.0008569082352501284 0.0007683512199037358 0.0 0.000320464306138845
0.233 0.0003250526351635073 0.00022213328905360157 0.00042837582404753994 0.0005997468202756063 0.0008544918562206988 0.0007661590269270308 0.0 0.00031886131804980035
0.234 0.0003237300055138195 0.0002201593353645394 0.0004257209845462916 0.0005970960326881145 0.0008520858257412967 0.0007639762223858301 0.0 0.0003172651950271356
0.23500000000000001 0.0003224130160929904 0.00021819379941400007 0.0004230774663566154 0.0005944565491331977 0.0008496900555509859 0.0007618027262078441 0.0 0.0003156758785199149
0.23600000000000002 0.00032110161900076304 0.00021623660971344365 0.00042044517333106893 0.0005918282736101474 0.0008473044585131232 0.0007596384593407842 0.0 0.00031409331072306137
0.23700000000000002 0.0003197957669445157 0.00021428769568115327 0.000417824010541822 0.0005892111113360219 0.0008449289485964467 0.0007574833437351576 0.0 0.0003125174345647856
0.23800000000000002 0.00031849541322899737 0.0002123469876269779 0.00041521388426015864 0.0005866049687251559 0.0008425634408564104 0.0007553373023273729 0.0 0.0003109481936941934
0.23900000000000002 0.00031720051174632296 0.00021041441673738556 0.0004126147019363393 0.0005840097533690604 0.0008402078514169541 0.0007532002590231914 0.0 0.0003093855324692109
0.24 0.0003159110169661671 0.0002084899150608059 0.0004100263721799124 0.0005814253740167752 0.0008378620974526333 0.0007510721386815411 0.0 0.0003078293959447507
0.241 0.00031462688392614867 0.00020657341549330487 0.0004074488047404564 0.0005788517405556076 0.0008355260971712116 0.0007489528670986677 0.0 0.00030627972986111085
0.242 0.0003133480682224331 0.00020466485176454398 0.00040488191048866157 0.0005762887639922977 0.0008331997697965166 0.0007468423709926148 0.0 0.00030473648063263314
0.243 0.00031207452600051834 0.00020276415842402826 0.0004023256013978655 0.0005737363564345229 0.0008308830355516312 0.0007447405779880048 0.0 0.00030319959533657483
0.244 0.0003108062139461954 0.00020087127082763664 0.0003997797905259233 0.0005711944310728337 0.0008285758156425637 0.000742647416601162 0.0 0.0003016690217022196
0.245 0.00030954308927672904 0.0001989861251244332 0.00039724439199747777 0.0005686629021629344 0.0008262780322420957 0.0007405628162254964 0.0 0.00030014470810021775
0.246 0.00030828510973219343 0.00019710865824374362 0.00039471932098656255 0.0005661416850083333 0.0008239896084740922 0.0007384867071172559 0.0 0.0002986266035321324
0.247 0.00030703223356697115 0.00019523880788248883 0.0003922044936995886 0.0005636306959433173 0.0008217104683980069 0.000736419020381487 0.0 0.0002971146576201919
0.248 0.00030578441954147613 0.000193376512492787 0.0003896998273586456 0.0005611298523163345 0.0008194405369937901 0.0007343596879583345 0.0 0.0002956088205972798
0.249 0.00030454162691396575 0.00019152171126978764 0.0003872052401851652 0.0005586390724736095 0.0008171797401470971 0.0007323086426096043 0.0 0.0002941090432970844
0.25 0.0003033038154325944 0.0001896743441397743 0.0003847206513838914 0.0005561582757432146 0.0008149280046347271 0.0007302658179055622 0.0 0.00029261527714447987
0.251 0.0003020709453275698 0.000187834351748465 0.0003822459811271873 0.0005536873824193325 0.0008126852581103886 0.0007282311482120662 0.0 0.000291127474146077
0.252 0.0003006866239936924 0.0001862277089011974 0.000380055339285906 0.0005513835669591483 0.0008104834545203491 0.0007261619665384322 0.0 0.0002897448176181309
0.253 0.0002992715043725124 0.00018467987859587982 0.00037793699698094636 0.0005491253651233465 0.0008082978022587213 0.0007240910941174921 0.0 0.0002883906628151668
0.254 0.0002978619670917665 0.00018313815414589603 0.00037582701107760234 0.000546876071404713 0.0008061207719219165 0.0007220283908397632 0.0 0.0002870418498596317
0.255 0.0002964579682821925 0.00018160248756791765 0.00037372531590645447 0.0005446356157981377 0.0008039522957538704 0.0007199737925073906 0.0 0.00028569833677219913
0.256 0.000295059464589653 0.00018007283144201835 0.00037163184656915173 0.0005424039291204774 0.0008017923067941011 0.0007179272356763529 0.0 0.00028436008206647107
0.257 0.0002936664131670621 0.00017854913890289614 0.00036954653892639304 0.0005401809429977597 0.0007996407388653047 0.000715888657644631 0.0 0.000283027044741255
0.258 0.00029227877166653133 0.00017703136363125506 0.00036746932958614086 0.0005379665898526 0.000797497526561149 0.0007138579964407356 0.0 0.0002816991842730589
0.259 0.0002908964982316416 0.00017551945984535958 0.00036540015589204124 0.0005357608028918838 0.0007953626052344014 0.0007118351908123928 0.0 0.0002803764606086781
0.26 0.00028951955148986947 0.00017401338229273823 0.00036333895591210516 0.0005335635160946701 0.0007932359109851948 0.0007098201802154287 0.0 0.0002790588341579602
0.261 0.0002881478905451388 0.00017251308624207168 0.0003612856684275697 0.0005313746642003581 0.0007911173806495482 0.0007078129048029396 0.0 0.00027774626578667456
0.262 0.00028678147497055974 0.00017101852747520636 0.0003592402329219997 0.0005291941826970192 0.0007890069517881222 0.0007058133054145965 0.0 0.00027643871680956683
0.263 0.00028542026480125513 0.0001695296622793474 0.00035720258957056895 0.0005270220078100132 0.0007869045626751783 0.0007038213235661925 0.0 0.00027513614898348477
0.264 0.0002840642205273714 0.0001680464474393739 0.0003551726792295813 0.0005248580764907912 0.0007848101522877322 0.0007018369014393832 0.0 0.00027383852450070176
0.265 0.0002827133030871822 0.00016656884023032788 0.00035315044342616606 0.0005227023264059142 0.000782723660294944 0.0006998599818716 0.0 0.0002725458059823096
0.266 0.00028136747386031983 0.00016509679841001935 0.000351135824348144 0.0005205546959262783 0.0007806450270476652 0.0006978905083461904 0.0 0.00027125795647174735
0.267 0.0002800266946611988 0.00016363028021177526 0.0003491287648341561 0.000518415124116544 0.0007785741935682582 0.0006959284249827236 0.0 0.0002699749394285018
0.268 0.0002786909277324598 0.00016216924433735012 0.00034712920836389504 0.0005162835507247628 0.0007765111015404798 0.0006939736765274456 0.0 0.0002686967187218429
0.269 0.00027736013573862513 0.00016071364994991888 0.00034513709904857975 0.0005141599161721946 0.0007744556932996878 0.0006920262083439897 0.0 0.0002674232586247427
0.27 0.0002760342817598291 0.0001592634566672514 0.0003431523816215546 0.0005120441615433176 0.0007724079118231504 0.0006900859664041673 0.0 0.0002661545238078826
0.271 0.0002747133292856781 0.0001578186245549831 0.0003411750014291215 0.0005099362285760239 0.0007703677007205456 0.0006881528972790164 0.0 0.0002648904793337708
0.272 0.00027339724220918715 0.00015637911412000308 0.0003392049044214796 0.0005078360596519739 0.0007683350042246666 0.0006862269481299358 0.0 0.00026363109065095155
0.273 0.0002720859848209029 0.0001549448863040054 0.0003372420371438848 0.0005057435977871834 0.0007663097671822356 0.0006843080667000477 0.0 0.000262376323588373
0.274 0.00027077952180306014 0.00015351590247710123 0.00033528634672793224 0.0005036587866227003 0.0007642919350449755 0.0006823962013056767 0.0 0.00026112614434979306
0.275 0.0002694778182238775 0.0001520921244315955 0.0003333377808830176 0.0005015815704155415 0.0007622814538607524 0.0006804913008279904 0.0 0.0002598805195083308
0.276 0.000268180839531967 0.0001506735143758455 0.00033139628788794273 0.0004995118940297104 0.0007602782702649345 0.0006785933147048177 0.0 0.00025863941600110267
0.277 0.00026688855155081165 0.00014926003492824735 0.00032946181658268875 0.000497449702927445 0.0007582823314719119 0.0006767021929225804 0.0 0.00025740280112395667
0.278 0.00026560092047338084 0.00014785164911132332 0.0003275343163603166 0.0004953949431605827 0.000756293585266712 0.000674817886008387 0.0 0.0002561706425262993
0.279 0.00026431791285680585 0.00014644832034591836 0.0003256137371590273 0.0004933475613620843 0.0007543119799968195 0.0006729403450222781 0.0 0.00025494290820602083
0.28 0.00026303949561718815 0.00014505001244550744 0.0003237000294543639 0.0004913075047377367 0.0007523374645641654 0.0006710695215495764 0.0 0.00025371956650450716
0.281 0.000261765636024462 0.00014365668961057736 0.00032179314425153694 0.0004892747210579645 0.0007503699884171548 0.0006692053676934329 0.0 0.0002525005861017393
0.28200000000000003 0.000260551467323707 0.00014230753108639686 0.0003199419704946787 0.00048729541775319646 0.00074844518666345 0.000667488287450167 0.0 0.0002513234223490203
0.28300000000000003 0.0002596270709693898 0.00014116607874832028 0.0003183505938613295 0.0004855625052319063 0.00074671186388562 0.000666504101627487 0.0 0.0002503444121064397
